gene_id	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
XLOC_005405	C1	C2	OK	78.2738	159.911	1.03067	6.30537	5e-05	0.00157081	yes
XLOC_005418	C1	C2	OK	151.094	260.733	0.787125	4.30328	5e-05	0.00157081	yes
XLOC_005478	C1	C2	OK	65.0696	103.913	0.675322	4.23797	5e-05	0.00157081	yes
XLOC_005566	C1	C2	OK	33.5412	56.0442	0.740631	3.94193	5e-05	0.00157081	yes
XLOC_005664	C1	C2	OK	54.3842	108.251	0.993116	5.8545	5e-05	0.00157081	yes
XLOC_005669	C1	C2	OK	143.479	231.365	0.689333	4.34429	5e-05	0.00157081	yes
XLOC_005677	C1	C2	OK	77.1707	146.5	0.924772	3.39084	5e-05	0.00157081	yes
XLOC_005691	C1	C2	OK	303.141	542.458	0.839525	5.63326	5e-05	0.00157081	yes
XLOC_005937	C1	C2	OK	40.9439	54.4502	0.411289	2.35885	5e-05	0.00157081	yes
XLOC_006136	C1	C2	OK	155.387	282.033	0.859998	4.97987	5e-05	0.00157081	yes
XLOC_006186	C1	C2	OK	30.29	45.9547	0.601369	2.30576	1e-04	0.00305895	yes
XLOC_006303	C1	C2	OK	36.491	62.6643	0.7801	3.40217	5e-05	0.00157081	yes
XLOC_006437	C1	C2	OK	93.7972	114.545	0.288299	1.87908	0.00135	0.0379043	yes
XLOC_006732	C1	C2	OK	304.206	551.195	0.857515	6.02254	5e-05	0.00157081	yes
XLOC_007158	C1	C2	OK	3.98487	2.32569	-0.776875	-2.23412	0.00025	0.00741327	yes
XLOC_007175	C1	C2	OK	131.195	179.21	0.449936	2.94034	5e-05	0.00157081	yes
XLOC_007180	C1	C2	OK	112.958	194.942	0.787259	4.76661	5e-05	0.00157081	yes
XLOC_007181	C1	C2	OK	91.1741	164.477	0.851191	4.15945	5e-05	0.00157081	yes
XLOC_007238	C1	C2	OK	2.64482	1.63348	-0.695222	-1.9534	5e-04	0.01453	yes
XLOC_007253	C1	C2	OK	491.654	1310.38	1.41427	9.85715	5e-05	0.00157081	yes
XLOC_007281	C1	C2	OK	38.8718	66.1763	0.767592	4.86454	5e-05	0.00157081	yes
XLOC_007317	C1	C2	OK	11.214	14.9037	0.410376	1.82794	0.0016	0.0447077	yes
XLOC_007416	C1	C2	OK	238.543	448.732	0.911603	7.52134	5e-05	0.00157081	yes
XLOC_007484	C1	C2	OK	88.159	145.487	0.722714	3.54469	5e-05	0.00157081	yes
XLOC_007504	C1	C2	OK	168.673	295.542	0.809135	5.40515	5e-05	0.00157081	yes
XLOC_007556	C1	C2	OK	48.7655	82.9918	0.76711	4.26089	5e-05	0.00157081	yes
XLOC_007598	C1	C2	OK	28.2948	57.5095	1.02326	4.87813	5e-05	0.00157081	yes
XLOC_007669	C1	C2	OK	74.3312	148.299	0.996464	6.63996	5e-05	0.00157081	yes
XLOC_007671	C1	C2	OK	74.0649	119.656	0.692032	4.46496	5e-05	0.00157081	yes
XLOC_007778	C1	C2	OK	48.1621	71.863	0.57735	3.83548	5e-05	0.00157081	yes
XLOC_007788	C1	C2	OK	32.2453	61.6105	0.934086	4.06297	5e-05	0.00157081	yes
XLOC_007887	C1	C2	OK	38.5331	64.1682	0.735761	3.7042	5e-05	0.00157081	yes
XLOC_008051	C1	C2	OK	14.3321	22.3514	0.641121	2.72652	5e-05	0.00157081	yes
XLOC_008171	C1	C2	OK	60.8925	113.82	0.902414	1.98899	0.00095	0.0270657	yes
XLOC_008334	C1	C2	OK	89.6428	121.615	0.440058	2.58444	5e-05	0.00157081	yes
XLOC_008368	C1	C2	OK	50.0034	71.8548	0.523059	2.99365	5e-05	0.00157081	yes
XLOC_008537	C1	C2	OK	222.763	380.701	0.773149	4.80597	5e-05	0.00157081	yes
XLOC_008574	C1	C2	OK	87.0429	138.788	0.673087	2.55027	5e-05	0.00157081	yes
XLOC_008623	C1	C2	OK	18.1316	35.5365	0.970794	3.15839	5e-05	0.00157081	yes
XLOC_008631	C1	C2	OK	81.8276	110.045	0.427436	2.80442	5e-05	0.00157081	yes
XLOC_008725	C1	C2	OK	20.736	41.3887	0.997102	4.42468	5e-05	0.00157081	yes
XLOC_008754	C1	C2	OK	76.4308	142.173	0.895417	5.22037	5e-05	0.00157081	yes
XLOC_008819	C1	C2	OK	51.1912	74.9701	0.550421	3.66602	5e-05	0.00157081	yes
XLOC_008876	C1	C2	OK	168.363	329.497	0.968689	5.73994	5e-05	0.00157081	yes
XLOC_008954	C1	C2	OK	19.7708	39.0313	0.981262	4.17027	5e-05	0.00157081	yes
XLOC_009015	C1	C2	OK	94.8128	176.546	0.896894	5.75785	5e-05	0.00157081	yes
XLOC_009164	C1	C2	OK	53.8783	108.353	1.00797	6.12741	5e-05	0.00157081	yes
XLOC_009322	C1	C2	OK	70.3968	133.951	0.928122	3.52282	5e-05	0.00157081	yes
XLOC_009450	C1	C2	OK	59.5647	130.098	1.12707	4.07058	5e-05	0.00157081	yes
XLOC_009456	C1	C2	OK	40.9219	62.3659	0.607885	3.42961	5e-05	0.00157081	yes
XLOC_009494	C1	C2	OK	47.0112	104.313	1.14984	5.18242	5e-05	0.00157081	yes
XLOC_009509	C1	C2	OK	26.4161	53.0576	1.00614	4.31987	5e-05	0.00157081	yes
XLOC_009577	C1	C2	OK	119.73	197.994	0.725678	4.07179	5e-05	0.00157081	yes
XLOC_009666	C1	C2	OK	47.2671	59.6005	0.334489	2.03595	4e-04	0.0116824	yes
XLOC_009764	C1	C2	OK	47.2847	82.318	0.799835	3.72275	5e-05	0.00157081	yes
XLOC_009802	C1	C2	OK	71.5782	100.228	0.485699	2.5341	5e-05	0.00157081	yes
XLOC_009850	C1	C2	OK	67.3492	152.62	1.18021	4.5173	5e-05	0.00157081	yes
XLOC_009878	C1	C2	OK	48.5949	69.9426	0.525368	2.58817	5e-05	0.00157081	yes
XLOC_010077	C1	C2	OK	77.8309	139.106	0.83777	3.40294	5e-05	0.00157081	yes
XLOC_010093	C1	C2	OK	129.64	260.118	1.00466	5.26962	5e-05	0.00157081	yes
XLOC_010237	C1	C2	OK	61.1198	109.112	0.836099	2.29572	2e-04	0.0060228	yes
